anio,subregion_es,valor
2004,NA,0.08986369529997582
2005,América Latina y el Caribe,0.12162052831693207
2005,América del Norte,0.09381521813199682
2005,Asia Central,0.184593502384916
2005,Asia Occidental,0.1017383356616028
2005,Asia del Sur,0.12886329595106608
2005,Australia y Nueva Zelanda,0.1319744585305095
2005,Este de Asia,0.16474441383538965
2005,Europa Occidental,0.17849069122285804
2005,Europa del Este,0.2108262332338
2005,Europa del Norte,0.16105243965090507
2005,Europa del Sur,0.15054468683332473
2005,Melanesia,0.0855184069546551
2005,Micronesia,0.02407843222749243
2005,Polinesia,0.06336489696751398
2005,Sudeste Asiático,0.19616208580271452
2005,África Subsahariana,0.11332267458841896
2005,África del Norte,0.1239760510159304
2005,NA,0.09167182411661404
2006,América Latina y el Caribe,0.12075270580339399
2006,América del Norte,0.08820360936977423
2006,Asia Central,0.1751587305626372
2006,Asia Occidental,0.09895672614620178
2006,Asia del Sur,0.12848391607846246
2006,Australia y Nueva Zelanda,0.12243817309795749
2006,Este de Asia,0.16429902724695594
2006,Europa Occidental,0.17861665113244254
2006,Europa del Este,0.2100964281457366
2006,Europa del Norte,0.15912452778695313
2006,Europa del Sur,0.1492326962439883
2006,Melanesia,0.09153176662841297
2006,Micronesia,0.015079776138125438
2006,Polinesia,0.05619653863737615
2006,Sudeste Asiático,0.1979937627102051
2006,África Subsahariana,0.11897774231939306
2006,África del Norte,0.1216756082441046
2006,NA,0.09733430088404844
2007,América Latina y el Caribe,0.11885672951055813
2007,América del Norte,0.08201235288077498
2007,Asia Central,0.1681043156784032
2007,Asia Occidental,0.0999176913873712
2007,Asia del Sur,0.12594069237863298
2007,Australia y Nueva Zelanda,0.11644187156552685
2007,Este de Asia,0.16477250255800113
2007,Europa Occidental,0.1796598134897223
2007,Europa del Este,0.2081600018385452
2007,Europa del Norte,0.15321406319908282
2007,Europa del Sur,0.14743889850196784
2007,Melanesia,0.10260565029947084
2007,Micronesia,0.021185968302727492
2007,Polinesia,0.06252638252365346
2007,Sudeste Asiático,0.19501817676089703
2007,África Subsahariana,0.11763040237112522
2007,África del Norte,0.11875495274980973
2007,NA,0.09194629018919695
2008,América Latina y el Caribe,0.11792391932192574
2008,América del Norte,0.07757827133179165
2008,Asia Central,0.2063061006741658
2008,Asia Occidental,0.09925413688440216
2008,Asia del Sur,0.12656613873951844
2008,Australia y Nueva Zelanda,0.1120972404772416
2008,Este de Asia,0.1673663971459389
2008,Europa Occidental,0.1731052860364199
2008,Europa del Este,0.20145155721175928
2008,Europa del Norte,0.15029130318710507
2008,Europa del Sur,0.14331323003393445
2008,Melanesia,0.08036212897285439
2008,Micronesia,0.046604994208025954
2008,Polinesia,0.05719161225541272
2008,Sudeste Asiático,0.19465894929682695
2008,África Subsahariana,0.11142811125221444
2008,África del Norte,0.11488233955995585
2008,NA,0.10140683715313048
2009,América Latina y el Caribe,0.11528120372040482
2009,América del Norte,0.07104940033956247
2009,Asia Central,0.2060725734073532
2009,Asia Occidental,0.10028517769548174
2009,Asia del Sur,0.12207587036885362
2009,Australia y Nueva Zelanda,0.10087341127164805
2009,Este de Asia,0.16132309798659394
2009,Europa Occidental,0.15878541484298903
2009,Europa del Este,0.1845438028286509
2009,Europa del Norte,0.14284599117880534
2009,Europa del Sur,0.12893079273383629
2009,Melanesia,0.08047731535580951
2009,Micronesia,0.06796000199093602
2009,Polinesia,0.05125063528679792
2009,Sudeste Asiático,0.192783790842552
2009,África Subsahariana,0.11383210707470785
2009,África del Norte,0.11882711275155765
2009,NA,0.10457687912376018
2010,América Latina y el Caribe,0.11338288409020192
2010,América del Norte,0.07010426447248351
2010,Asia Central,0.2095645604180308
2010,Asia Occidental,0.10077913655894817
2010,Asia del Sur,0.12066466544731218
2010,Australia y Nueva Zelanda,0.09810441752367971
2010,Este de Asia,0.16499531698480802
2010,Europa Occidental,0.16337194939626254
2010,Europa del Este,0.1880918077193755
2010,Europa del Norte,0.15180036961506188
2010,Europa del Sur,0.13333009933473564
2010,Melanesia,0.0937809221046216
2010,Micronesia,0.05313894309760889
2010,Polinesia,0.04867011540258972
2010,Sudeste Asiático,0.18949508140898383
2010,África Subsahariana,0.10808073472624004
2010,África del Norte,0.11523899339473047
2010,NA,0.1001703731400202
2011,América Latina y el Caribe,0.11293019395094746
2011,América del Norte,0.07209576249396163
2011,Asia Central,0.2136623576029744
2011,Asia Occidental,0.10047009319197034
