geocodigoFundar,geonombreFundar,anio,gdp_indust_pc,gdp_indust_pc_vs_usa
VNM,Vietnam,1984,55.7854176322954,0.013286205446774904
VNM,Vietnam,1985,59.2688337987886,0.013886972204839525
VNM,Vietnam,1986,58.5931921208515,0.013730961707489768
VNM,Vietnam,1987,56.4277396254939,0.01240950320326357
VNM,Vietnam,1988,67.3886902397017,0.013967189235081487
VNM,Vietnam,1989,57.8656825056925,0.012198011609719308
VNM,Vietnam,1990,53.3523556843202,0.01146325673187081
VNM,Vietnam,1991,57.6203088991253,0.012954478175820393
VNM,Vietnam,1992,63.1224117203328,0.014116878192425087
VNM,Vietnam,1993,68.3616007169433,0.014945214578562885
VNM,Vietnam,1994,73.9611928502417,0.01521915024631444
VNM,Vietnam,1995,82.5878692667201,0.016115595561063997
VNM,Vietnam,1996,92.3915835354423,0.017774137869326044
VNM,Vietnam,1997,102.737586624253,0.0189857462164972
VNM,Vietnam,1998,111.601800787231,0.020001762130450844
VNM,Vietnam,1999,118.95762599314,0.02038504462125313
VNM,Vietnam,2000,131.364448792677,0.021214851800061395
VNM,Vietnam,2001,144.740912050323,0.024588614829144928
VNM,Vietnam,2002,159.878057806164,0.027187821668065396
VNM,Vietnam,2003,176.544860562449,0.028710996180408812
VNM,Vietnam,2004,193.836441695369,0.02973748820438148
VNM,Vietnam,2005,216.857942188996,0.03261459522225318
VNM,Vietnam,2006,268.915293765868,0.03863188783055857
VNM,Vietnam,2007,327.999568166279,0.046045271842944394
VNM,Vietnam,2008,390.770919388705,0.05659304423510382
VNM,Vietnam,2009,435.264834485982,0.07027833434799474
VNM,Vietnam,2010,379.449714117078,0.05853800692388746
VNM,Vietnam,2011,422.334772924591,0.0654497316014741
VNM,Vietnam,2012,452.405297591056,0.07120609610982073
VNM,Vietnam,2013,476.158957575585,0.07332802998945542
VNM,Vietnam,2014,500.981354040496,0.07655975529097109
VNM,Vietnam,2015,540.260794844482,0.08227895407545684
VNM,Vietnam,2016,592.929553406061,0.09132391285681872
VNM,Vietnam,2017,656.607833830637,0.10367035873293218
VNM,Vietnam,2018,723.923819054045,0.10989821586033127
VNM,Vietnam,2019,785.737273139982,0.11961736658513719
VNM,Vietnam,2020,817.346763037479,0.13070865490222872
VNM,Vietnam,2021,853.747534458397,0.1271900877791838
VNM,Vietnam,2022,916.798756037571,0.13585866094790985
VNM,Vietnam,2023,943.646551546747,0.1402089272157144
ASIA,Promedio simple países de Asia,1970,831.0083935758864,0.221332341560734
ASIA,Promedio simple países de Asia,1971,870.1742543934313,0.23163941493961673
ASIA,Promedio simple países de Asia,1972,907.1259733118287,0.2276997699147882
ASIA,Promedio simple países de Asia,1973,962.3367673895588,0.2231424041563053
ASIA,Promedio simple países de Asia,1974,997.5057210982018,0.24298620682178443
ASIA,Promedio simple países de Asia,1975,995.7376987264727,0.2603156979986392
ASIA,Promedio simple países de Asia,1976,1135.8903463165107,0.2783297312360412
ASIA,Promedio simple países de Asia,1977,1123.6723194479598,0.26659374569777833
ASIA,Promedio simple países de Asia,1978,1175.2014562334364,0.2701529768414345
ASIA,Promedio simple países de Asia,1979,1214.8743609563114,0.27974182783679985
ASIA,Promedio simple países de Asia,1980,1173.2395909453999,0.2928036636016664
ASIA,Promedio simple países de Asia,1981,1155.0273843360403,0.2817842860361596
ASIA,Promedio simple países de Asia,1982,1164.4899342706242,0.30240153597018876
ASIA,Promedio simple países de Asia,1983,1177.4454227060376,0.2995880317341772
ASIA,Promedio simple países de Asia,1984,1245.320261647171,0.29659329526462475
ASIA,Promedio simple países de Asia,1985,1235.553614549534,0.2894961416161538
ASIA,Promedio simple países de Asia,1986,1204.8439005353343,0.2823479121538748
ASIA,Promedio simple países de Asia,1987,1336.3377392096465,0.29388537562245043
ASIA,Promedio simple países de Asia,1988,1341.762690054145,0.2780979023913017
ASIA,Promedio simple países de Asia,1989,1297.5658533319195,0.27352521663874013
ASIA,Promedio simple países de Asia,1990,1181.7189805692212,0.25390346659371205
ASIA,Promedio simple países de Asia,1991,1127.2371417187894,0.2534309383334787
ASIA,Promedio simple países de Asia,1992,1169.9877318576844,0.2616594304166355
ASIA,Promedio simple países de Asia,1993,1141.3428141799764,0.2495203899079103
ASIA,Promedio simple países de Asia,1994,1171.3792014810674,0.24103716254070584
ASIA,Promedio simple países de Asia,1995,1176.956346040736,0.22966269301081652
ASIA,Promedio simple países de Asia,1996,1196.1186532860531,0.2301073002328548
ASIA,Promedio simple países de Asia,1997,1252.1655517535246,0.2313982464234809
ASIA,Promedio simple países de Asia,1998,1223.5103545077543,0.21928286911484773
ASIA,Promedio simple países de Asia,1999,1246.9076207453595,0.21367497270784927
ASIA,Promedio simple países de Asia,2000,1289.660587840219,0.2082752106438672
ASIA,Promedio simple países de Asia,2001,1252.0641881022873,0.2127009124545896
ASIA,Promedio simple países de Asia,2002,1284.0642007902065,0.21835959843693498
ASIA,Promedio simple países de Asia,2003,1316.525264161569,0.21410281619262433
ASIA,Promedio simple países de Asia,2004,1379.2322511389384,0.21159541745924754
ASIA,Promedio simple países de Asia,2005,1428.9733659410804,0.2149120638290088
ASIA,Promedio simple países de Asia,2006,1462.8671508821094,0.21015286595447397
ASIA,Promedio simple países de Asia,2007,1460.835821746155,0.20507521673355697
ASIA,Promedio simple países de Asia,2008,1480.0310465300624,0.21434415492491185
ASIA,Promedio simple países de Asia,2009,1386.3376395301948,0.2238395855368615
ASIA,Promedio simple países de Asia,2010,1518.4544515621421,0.23425316686818357
ASIA,Promedio simple países de Asia,2011,1584.6468880644734,0.2455746487288403
ASIA,Promedio simple países de Asia,2012,1573.2877723439992,0.2476268092404127
ASIA,Promedio simple países de Asia,2013,1567.5005980896879,0.24139361244078708
ASIA,Promedio simple países de Asia,2014,1556.5460658880525,0.23787070105982475
ASIA,Promedio simple países de Asia,2015,1549.954090499395,0.23605007553430973
ASIA,Promedio simple países de Asia,2016,1567.0030636871702,0.24135219843989014
ASIA,Promedio simple países de Asia,2017,1625.718101858437,0.25668103567244066
ASIA,Promedio simple países de Asia,2018,1680.5258162368896,0.25511909409610567
ASIA,Promedio simple países de Asia,2019,1683.784449689028,0.2563323246254146
ASIA,Promedio simple países de Asia,2020,1696.776958448215,0.27134558297344263
ASIA,Promedio simple países de Asia,2021,1815.7272477468298,0.27050445090946135
ASIA,Promedio simple países de Asia,2022,1843.7621398422796,0.2732235987187135
ASIA,Promedio simple países de Asia,2023,1812.546536221564,0.2693118572368301
